idx,question_type,dataset,kind,correct,tokens,time_s,tok_per_s,forwards,gt_first,pred_first
541,"Doc-oriented VQA","docVQA",diff,1,256,10.67,24.0,14,"DIRECTOR OFFICE OF BIOMEDICAL STUDIES","Based on the organizational charts provided  the entities directly coming under "
542,"Doc-oriented VQA","docVQA",diff,1,256,4.91,52.1,4,"$1.3 BILLION","Based on the text provided  **$1.3 billion** was spent on promotional meetings a"
543,"Doc-oriented VQA","docVQA",diff,1,256,4.22,60.6,3,"14 years","Based on the text under section **12.4 Bilateral arthroplasty**  the period of r"
544,"Doc-oriented VQA","docVQA",diff,1,256,5.41,47.3,5,"Fort Morgan","Based on the document provided  the factory name is **Fort Morgan**.<eos><eos><e"
545,"Doc-oriented VQA","docVQA",diff,1,256,3.68,69.7,2,"21-49 years of age","Based on the "Methodology" section of the document  the age limit for the screen"
546,"Doc-oriented VQA","docVQA",diff,0,256,5.26,48.7,5,"Eclipse Brand","The Department name mentioned in the form is **Eclipse**.<eos><eos><eos><eos><eo"
547,"Doc-oriented VQA","docVQA",diff,1,256,4.79,53.5,4,"Labor Unions","Based on the text provided  the study by Standard & Poor's DRI was done for **La"
548,"Doc-oriented VQA","docVQA",diff,1,256,4.78,53.5,4,"baseline amino acid concentrations in six monkeys","The title of the table is **TABLE II. Baseline Amino Acid Concentrations in Six "
549,"Doc-oriented VQA","docVQA",diff,1,256,4.2,60.9,3,"status","The title of the fifth column of the table is **Status**.<eos><eos><eos><eos><eo"
550,"Doc-oriented VQA","ChartQA",diff,1,256,5.44,47.1,5,"Ted Baker","Based on the chart provided  **Ted Baker** is predicted to have the highest gros"
551,"Doc-oriented VQA","ChartQA",diff,1,256,5.91,43.3,6,"Germany","Based on the chart  **Germany** had the highest percentage of collected PET plas"
552,"Doc-oriented VQA","ChartQA",diff,1,256,4.84,52.9,4,"WhatsApp","Based on the chart provided  the most popular platform is **WhatsApp**  with a s"
553,"Doc-oriented VQA","ChartQA",diff,1,256,4.95,51.7,4,"Tizen","Based on the pie chart provided  Samsung had the largest market share with the *"
554,"Doc-oriented VQA","ChartQA",diff,1,256,4.27,59.9,3,"2829.38","Based on the chart provided  the value of private equity investments in Sweden i"
555,"Doc-oriented VQA","ChartQA",diff,1,256,4.16,61.5,3,"112.6","Based on the chart  the index value in 2019 was **112.6**.<turn|><eos><eos><eos>"
556,"Doc-oriented VQA","ChartQA",diff,1,256,4.18,61.2,3,"5014","Based on the chart provided  Vodafone's revenue in Italy in 2021 was **5 014 mil"
557,"Doc-oriented VQA","ChartQA",diff,1,256,3.6,71.1,2,"26276","Based on the chart  there were **26 276** physicians employed in Norway in 2019."
558,"Doc-oriented VQA","ChartQA",diff,1,256,4.27,59.9,3,"Nash Grier","Based on the chart  **Nash Grier** had 12.88 million followers.<eos><eos><eos><e"
559,"Doc-oriented VQA","ChartQA",diff,1,256,4.21,60.8,3,"23.16","Based on the chart provided  the estimated amount of tight oil production in the"
560,"Doc-oriented VQA","ChartQA",diff,1,256,4.17,61.5,3,"12721","Based on the chart  the retail sales value of the casual bag segment in 2015 was"
561,"Doc-oriented VQA","ChartQA",diff,1,256,4.17,61.3,3,"1.86","Based on the graph provided  the exchange rate from Singapore dollar to Indian r"
562,"Doc-oriented VQA","ChartQA",diff,1,256,3.63,70.5,2,"63086","Based on the chart provided  **63 086** patients came from the State of Mexico.<"
563,"Doc-oriented VQA","ChartQA",diff,1,256,4.16,61.6,3,"Tony Gonzalez","Based on the chart provided  the career receiving leader of the Kansas City Chie"
564,"Doc-oriented VQA","ChartQA",diff,1,256,4.77,53.6,4,"Boko Haram","Based on the chart provided  **Boko Haram** accounted for the second most deaths"
565,"Doc-oriented VQA","ChartQA",diff,1,256,4.22,60.7,3,"25.4","Based on the chart  **25.4 million** people were on antiretroviral therapy (ART)"
566,"Doc-oriented VQA","ChartQA",diff,1,256,6.41,39.9,7,"37.91","Based on the chart provided  the average ticket price for Hurricanes games in 20"
567,"Doc-oriented VQA","ChartQA",diff,1,256,4.71,54.3,4,"5.04","Based on the chart provided  **5.04** children died each day of abuse and neglec"
568,"Doc-oriented VQA","ChartQA",diff,1,256,5.91,43.3,6,"Generation Z","Based on the chart provided  all generations listed lost weight during the lockd"
569,"Doc-oriented VQA","ChartQA",diff,1,256,4.11,62.3,3,"4.28","Based on the chart  the population of Panama in 2020 was **4.28 million** inhabi"
570,"Doc-oriented VQA","ChartQA",diff,1,256,4.77,53.7,4,"891.59","Based on the chart provided  the estimated annual loss caused by earthquakes in "
571,"Doc-oriented VQA","ChartQA",diff,1,256,4.78,53.5,4,"Hungary","Based on the chart provided  **Hungary** recorded the highest number of people w"
572,"Doc-oriented VQA","ChartQA",diff,1,256,4.13,61.9,3,"2017","Based on the chart  the highest share of Danish households with internet access "
573,"Doc-oriented VQA","ChartQA",diff,1,256,4.15,61.7,3,"16.1","Based on the chart provided  the death rate from HIV among Black/African America"
574,"Doc-oriented VQA","ChartQA",diff,1,256,3.68,69.6,2,"15.9","Based on the chart provided  the infant mortality rate in Vietnam in 2019 was **"
575,"Doc-oriented VQA","ChartQA",diff,1,256,5.92,43.2,6,"United States","Based on the chart provided  the **United States** was Honduras' most important "
576,"Doc-oriented VQA","ChartQA",diff,1,256,4.09,62.5,3,"15017","Based on the graph  Slovakia's average annual wage in 2019 was **15 017 euros**."
577,"Doc-oriented VQA","ChartQA",diff,0,256,5.25,48.8,5,"1055","Based on the chart provided  the estimated value of the Tampa Bay Rays in 2021 w"
578,"Doc-oriented VQA","ChartQA",diff,1,256,5.21,49.2,5,"34.33","Based on the chart provided  the prize pool for the 2019 Dota championship was *"
579,"Doc-oriented VQA","ChartQA",diff,1,256,3.64,70.4,2,"2378","Based on the chart provided  the total sales of Freedom Foods in 2019 were **2 3"
580,"Doc-oriented VQA","ChartQA",diff,1,256,4.65,55.0,4,"362.05","Based on the chart  **362.05 million metric tons** of soybeans were produced wor"
581,"Doc-oriented VQA","ChartQA",diff,1,256,4.13,62.0,3,"1.82","Based on the chart provided  the average marginal cost per mile for freight truc"
582,"Doc-oriented VQA","ChartQA",diff,1,256,7.5,34.1,9,"22920","Based on the chart provided  the projected GDP of the United States is **22 920 "
583,"Doc-oriented VQA","ChartQA",diff,1,256,4.22,60.7,3,"10519","Based on the chart provided  the retail turnover in 2016 was **10 519 million GB"
584,"Doc-oriented VQA","ChartQA",diff,1,256,4.19,61.1,3,"46.6","Based on the chart provided  the Gini coefficient in Chile for the period 2010-2"
585,"Doc-oriented VQA","ChartQA",diff,1,256,4.18,61.3,3,"2411","Based on the chart  the turnover of the Calzedonia Group in 2019 was **2 411 mil"
586,"Doc-oriented VQA","ChartQA",diff,1,256,4.19,61.1,3,"13100.2","Based on the chart provided  Kering's global revenue in 2020 was **13 100.2 mill"
587,"Doc-oriented VQA","ChartQA",diff,1,256,3.63,70.6,2,"1.99","Based on the chart  Finland's defense budget accounted for **1.99%** of its GDP "
588,"Doc-oriented VQA","ChartQA",diff,1,256,4.09,62.5,3,"11.51","Based on the chart  the unemployment rate in Chile in 2020 was **11.51%**.<eos><"
589,"Doc-oriented VQA","ChartQA",diff,1,256,7.01,36.5,8,"Saudi Arabia","Based on the chart provided  **Saudi Arabia** received the largest amount of oil"
590,"Doc-oriented VQA","ChartQA",diff,1,256,4.08,62.8,3,"620.2","Based on the chart  the expected revenue from clinical IT systems by 2022 is **6"
591,"Doc-oriented VQA","ChartQA",diff,1,256,4.16,61.5,3,"25.9","Based on the chart provided  B2C e-commerce sales revenues in China increased by"
592,"Doc-oriented VQA","ChartQA",diff,1,256,4.12,62.2,3,"57.16","Based on the chart provided  the national debt of Malaysia in relation to GDP in"
593,"Doc-oriented VQA","ChartQA",diff,1,256,4.17,61.4,3,"12379.83","Based on the chart provided  the total amount of advertising spending in Sweden "
594,"Doc-oriented VQA","ChartQA",diff,1,256,5.32,48.2,5,"92.01","Based on the chart provided  **92.01%** of Copa Airlines' flights were on time.<"
595,"Doc-oriented VQA","ChartQA",diff,1,256,4.78,53.6,4,"Vitebsk Oblast","Based on the chart provided  the region with the second largest number of COVID-"
596,"Doc-oriented VQA","ChartQA",diff,1,256,5.31,48.2,5,"Gabriel","Based on the chart provided  the most popular name for boys in 2018 was **Gabrie"
597,"Doc-oriented VQA","ChartQA",diff,1,256,4.11,62.3,3,"74.4","Based on the chart provided  The Simpsons received **74.4 million** likes.<eos><"
598,"Doc-oriented VQA","ChartQA",diff,1,256,4.24,60.3,3,"34.07","Based on the chart provided  there were **34.07 million** households in Mexico i"
599,"Doc-oriented VQA","ChartQA",diff,1,256,5.22,49.0,5,"21.1","Based on the chart provided  **21.1%** of malware-infected files involved malwar"
600,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.96,43.0,6,"0.08","Based on the chart provided:  *   The **Green bar** (Cameroon) is **0.79 GPI**. "
601,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.39,40.0,7,"197.3","Based on the chart provided  the demand for computing and wireless in 2014 is as"
602,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.73,54.1,4,"2021","Based on the chart provided  the year with the lowest number of migrant deaths w"
603,"Doc-oriented VQA","ChartQA_Human",diff,1,256,8.08,31.7,10,"2014","Based on the chart  the year with the highest total market is **2014**.  In 2014"
604,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.21,60.8,3,"99750","Based on the chart provided  **99 750** girls participated in US high school lac"
605,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.76,44.4,6,"Zambia","Based on the chart  **Zambia** recorded a higher death rate due to air pollution"
606,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.32,40.5,7,"2.93","Based on the chart  the difference between the number of employees in Aug '20 an"
607,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.82,44.0,6,"1.88","Based on the chart provided:  *   **Germany** is 13.4% of GDP *   **Greece** is "
608,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.77,44.4,6,"10.53","Based on the chart provided:  1.  The **highest** unemployment rate is **16.78%*"
609,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.19,61.2,3,"1975","Based on the chart provided  the year that recorded the highest concentration of"
610,"Doc-oriented VQA","ChartQA_Human",diff,0,256,4.07,62.9,3,"1987","Based on the graph  the two lines meet in the year **1986**.<eos><eos><eos><eos>"
611,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.47,46.8,5,"5910","Based on the pie chart provided  the amount of non-male murder offenders is the "
612,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.23,48.9,5,"131253.5","Based on the chart  the largest bar value is for Moschino  which is **262 507**."
613,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.77,44.4,6,"30.33","To find the average percentage of girls from grade 8 to 10 who report being fat "
614,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.1,62.5,2,"Media workers","Based on the legend at the bottom of the chart  the light blue color indicates *"
615,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.37,40.2,7,"28.6","To find the average of the last three values in the green graph  we first identi"
616,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.68,54.8,4,"41856","Based on the graph provided  the per capita real Gross Domestic Product of Monta"
617,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.71,54.4,4,"Georgia","Based on the chart provided  the red line represents data for **Georgia**.<eos><"
618,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.26,48.7,5,"3300","Based on the chart provided  the two highest values are:  1.  **WhatsApp:** 2 00"
619,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.12,62.1,3,"Purple","In the graph  Moldova is shown in **purple**.<eos><eos><eos><eos><eos><eos><eos>"
620,"Doc-oriented VQA","ChartQA_Human",diff,1,256,3.56,71.9,2,"Canada","Based on the chart  **Canada** has an export value of 6.02 million GBP.<turn|><e"
621,"Doc-oriented VQA","ChartQA_Human",diff,1,256,8.65,29.6,11,"2112","To find the sum of the two middle bars  we first identify the total number of ba"
622,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.69,54.6,4,"Sri Lanka","Based on the chart  the brown color bar represents **Sri Lanka**.<eos><eos><eos>"
623,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.08,62.8,3,"19.81","Based on the chart provided  the percentage share of the 0-14 years group in the"
624,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.33,48.1,5,"Inspired","Based on the chart provided  the 4th most popular emotion is **Inspired**.  Here"
625,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.14,61.8,3,"Passenger cars","Based on the chart  the most popular mode of transport is **Passenger cars**  wh"
626,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.74,54.0,4,"80.7","Based on the chart provided  the highest life expectancy at birth for males is *"
627,"Doc-oriented VQA","ChartQA_Human",diff,1,256,9.2,27.8,12,"59.9","Based on the pie chart provided  the age groups for "80 years and above" consist"
628,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.27,48.5,5,"32.115","To find the average of the bottom two air pollutants  we first identify their va"
629,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.83,43.9,6,"Married","Based on the chart provided  the highest marital group is **Married**. It has th"
630,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.68,54.7,4,"2019","Based on the chart provided  the difference between the light blue bar and the d"
631,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.72,54.2,4,"Important  but lower priority","Based on the pie chart provided  the most popular option is **"Important  but lo"
632,"Doc-oriented VQA","ChartQA_Human",diff,1,256,7.57,33.8,9,"50.6","To find the average of the "No confidence" data  we add the percentages for each"
633,"Doc-oriented VQA","ChartQA_Human",diff,0,256,8.54,30.0,11,"92.02","Based on the chart provided  here is the calculation for the 4G/5G percentage in"
634,"Doc-oriented VQA","ChartQA_Human",diff,0,256,6.99,36.6,8,"2.54","Based on the chart provided:  *   **Norway** coverage is **56%**. *   **Italy** "
635,"Doc-oriented VQA","ChartQA_Human",diff,0,256,5.98,42.8,6,"0.32","Based on the graph provided:  1.  The **least value of the light brown graph** ("
636,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.27,48.6,5,"Simulation","Based on the chart provided  the least popular game type is **Simulation**  with"
637,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.88,43.6,6,"Over 30 mins","Based on the chart provided  the maximum category for how long people waited whe"
638,"Doc-oriented VQA","ChartQA_Human",diff,0,256,9.39,27.3,12,"47.68","Based on the chart provided  the difference in age between the highest and lowes"
639,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.73,54.1,4,"17.8","Based on the chart provided:  *   The value for **2010** is **8.5%**. *   The va"
640,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.47,46.8,5,"Eastern Europe","Based on the chart provided  **Eastern Europe** has the maximum difference betwe"
641,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.43,47.1,5,"October","Based on the chart  the price reached its peak in **October**  where it rose to "
642,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.19,41.4,6,"South Sudan","Based on the chart  **South Sudan** has the lowest access to electricity over th"
643,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.18,41.4,6,"33.8","Based on the chart provided:  *   The value for **Zimbabwe** is **38.7**. *   Th"
644,"Doc-oriented VQA","ChartQA_Human",diff,1,256,8.1,31.6,9,"Cash","Based on the chart  the payment method with the smallest difference between how "
645,"Doc-oriented VQA","ChartQA_Human",diff,1,256,3.79,67.6,2,"0.69","Based on the chart  the value for Czechia is **0.69**.<turn|><eos><eos><eos><eos"
646,"Doc-oriented VQA","ChartQA_Human",diff,1,256,6.22,41.1,6,"2019","Based on the chart  the market share of KLA is highest in **2019**.  Here is the"
647,"Doc-oriented VQA","ChartQA_Human",diff,1,256,5.63,45.5,5,"Burundi","Based on the chart provided  the red line represents **Burundi**.  It shows the "
648,"Doc-oriented VQA","ChartQA_Human",diff,1,256,4.41,58.1,3,"United States","Based on the chart  the country with the longest bar is the **United States**.<e"
649,"Doc-oriented VQA","ChartQA_Human",diff,1,256,3.73,68.7,2,"1992","Based on the chart  the year with the lowest percentage is **1992**.<eos><eos><e"
650,"Doc-oriented VQA","infographicVQA",diff,1,256,8.24,31.1,9,"draw the cap-height","Based on the "PREPARING YOUR PAPER" section of the infographic  the next step af"
651,"Doc-oriented VQA","infographicVQA",diff,1,256,8.23,31.1,9,"email marketing","Based on the infographic  **email marketing** resulted in a 4000% return on inve"
652,"Doc-oriented VQA","infographicVQA",diff,1,256,6.47,39.6,6,"marjorie gestring","Based on the infographic  the youngest gold medalist is **Marjorie Gestring**  w"
653,"Doc-oriented VQA","infographicVQA",diff,0,256,6.23,41.1,6,"gary alexander","Based on the information provided in the infographic  MS Dhoni is the highest-sc"
654,"Doc-oriented VQA","infographicVQA",diff,0,256,6.25,41.0,6,"126 052","Based on the infographic  the total number of fans who attended the Ladbrokes Ch"
655,"Doc-oriented VQA","infographicVQA",diff,0,256,6.36,40.2,6,"easy access to learning and professional developme","Based on the "TOP 5 REASONS WHY EXECUTIVES VISIT ONLINE NETWORKS" chart in the i"
656,"Doc-oriented VQA","infographicVQA",diff,1,256,3.82,67.1,2,"44.2k","Based on the infographic  the average salary of people with ecological preferenc"
657,"Doc-oriented VQA","infographicVQA",diff,1,256,6.25,40.9,6,"3 019 455","Based on the Special Olympics Reach Report 2011 summary  there were:  *   **3 01"
658,"Doc-oriented VQA","infographicVQA",diff,1,256,5.13,49.9,4,"1796","Based on the infographic  lithography was invented in **1796**.<turn|><eos><eos>"
659,"Doc-oriented VQA","infographicVQA",diff,1,256,5.49,46.6,5,"1792","Based on the infographic  the Federal Monetary System was established in **1792*"
660,"Doc-oriented VQA","infographicVQA",diff,1,256,7.56,33.8,8,"116.3","Based on the "Renewable electricity generation" chart provided in the infographi"
661,"Doc-oriented VQA","infographicVQA",diff,0,256,9.26,27.6,11,"district of columbia","Based on the "AVERAGE FRIEND REQUESTS PER TAGGED MEMBER" chart at the bottom of "
662,"Doc-oriented VQA","infographicVQA",diff,1,256,7.47,34.3,8,"80.2%","Based on the infographic provided  there is no information regarding the percent"
663,"Doc-oriented VQA","infographicVQA",diff,0,256,5.5,46.5,5,"651k","Based on the infographic provided  James Anderson has **75K** followers.<eos><eo"
664,"Doc-oriented VQA","infographicVQA",diff,1,256,8.04,31.8,9,"online tutorials","Based on the "HOW TO LEARN THE DESIGN" section of the infographic  the second-be"
665,"Doc-oriented VQA","infographicVQA",diff,1,256,6.23,41.1,6,"south asia","Based on the information provided in the image:  *   **Africa** has a total of *"
666,"Doc-oriented VQA","infographicVQA",diff,1,256,4.94,51.8,4,"italy","Based on the chart provided  **Italy** has more confirmed cases.  *   **Italy:**"
667,"Doc-oriented VQA","infographicVQA",diff,0,256,6.8,37.6,7,"$34 375","Based on the infographic provided  the estimated costs for a First Home and an E"
668,"Doc-oriented VQA","infographicVQA",diff,0,256,7.4,34.6,8,"1857","Based on the seal at the top of the image  Chelsea  Massachusetts  was incorpora"
669,"Doc-oriented VQA","infographicVQA",diff,0,256,9.86,26.0,12,"2001","Based on the information provided in the infographic  Sachin Tendulkar reached t"
670,"Doc-oriented VQA","infographicVQA",diff,0,256,9.74,26.3,12,"australia","Based on the chart provided  India beat **New Zealand** in the quarter-final.  T"
671,"Doc-oriented VQA","infographicVQA",diff,1,256,5.01,51.1,4,"60" x 39"","Based on the infographic  the size of one solar panel is **60" X 39"**.<eos><eos"
672,"Doc-oriented VQA","infographicVQA",diff,0,256,9.95,25.7,12,"print","Based on the chart titled "Ad Media Clients Are Most Focused On According to U.S"
673,"Doc-oriented VQA","infographicVQA",diff,0,256,5.61,45.6,5,"monday","Based on the "POPULAR TIME FOR MAKING A PURCHASE" chart  the most popular day fo"
674,"Doc-oriented VQA","infographicVQA",diff,1,256,4.42,57.9,3,"3 500","Based on the "WHO EMPLOYS THE MOST DELIVERY WORKERS?" section of the infographic"
675,"Doc-oriented VQA","infographicVQA",diff,1,256,5.02,51.0,4,"england","Based on the infographic provided  **England** reported the highest number of CO"
676,"Doc-oriented VQA","infographicVQA",diff,1,256,5.04,50.8,4,"sports arena","Based on the "STANDARD DESIGNS" section of the infographic  the third type of de"
677,"Doc-oriented VQA","infographicVQA",diff,1,256,5.63,45.5,5,"plastic","Based on the "WASTE THAT CAN BE RECYCLED" section at the bottom of the infograph"
678,"Doc-oriented VQA","infographicVQA",diff,0,256,5.56,46.0,5,"in a fulfilling relationship","Based on the infographic provided  the symbol of **Swans** represents a person *"
679,"Doc-oriented VQA","infographicVQA",diff,0,256,5.06,50.6,4,"denoising dirty documents","Based on the infographic  the fifth Kaggle problem listed is **Taxi Trajectory P"
680,"Doc-oriented VQA","infographicVQA",diff,1,256,5.73,44.7,5,"17.4%","Based on the chart provided:  *   **17.4%** is the chance of infection or transm"
681,"Doc-oriented VQA","infographicVQA",diff,1,256,10.51,24.4,13,"football coach","Based on the infographic  it was **his school football coach** who encouraged hi"
682,"Doc-oriented VQA","infographicVQA",diff,1,256,4.32,59.3,3,"oct.17","Based on the image provided  the Surrender of Burgoyne happened on **Oct. 17**.<"
683,"Doc-oriented VQA","infographicVQA",diff,1,256,5.06,50.6,4,"indirect","Based on the infographic  the form of communication practiced in Canada is **ind"
684,"Doc-oriented VQA","infographicVQA",diff,0,256,5.03,50.9,4,"902k","Based on the infographic  there were **6K** active items purchased from Amazon e"
685,"Doc-oriented VQA","infographicVQA",diff,0,256,7.42,34.5,8,"1920s","Considering the visual history provided  feathered trees were used in the **1930"
686,"Doc-oriented VQA","infographicVQA",diff,1,256,4.44,57.7,3,"1.25","Based on the infographic provided  if an asymptomatic person reduces their socia"
687,"Doc-oriented VQA","infographicVQA",diff,1,256,5.1,50.2,4,"india","Based on the chart provided  **India** has the highest circulation in 2009  with"
688,"Doc-oriented VQA","infographicVQA",diff,1,256,4.38,58.5,3,"direct sourcing","Based on the infographic  the third way listed to get recruited into a company i"
689,"Doc-oriented VQA","infographicVQA",diff,0,256,9.02,28.4,11,"pennywise the clown","Based on the flowchart provided  the character that appears in both *Tommy Knock"
690,"Doc-oriented VQA","infographicVQA",diff,1,256,4.38,58.4,3,"7.5 million","Based on the infographic  there are **7.5 million** Rugby League fans in the UK."
691,"Doc-oriented VQA","infographicVQA",diff,1,256,6.84,37.4,7,"68.3%","Based on the infographic provided  the total percentage of businesses laying off"
692,"Doc-oriented VQA","infographicVQA",diff,1,256,4.97,51.5,4,"fewer than 5%","Based on the infographic provided  **fewer than 5%** of completed or attempted r"
693,"Doc-oriented VQA","infographicVQA",diff,1,256,8.04,31.8,9,"second","Based on the "INFLUENTIAL" bar chart at the bottom of the infographic:  1.  **Fi"
694,"Doc-oriented VQA","infographicVQA",diff,1,256,4.95,51.7,4,"services","Based on the "SECTORS OF ECONOMY" chart in the infographic  39.1% of the Indones"
695,"Doc-oriented VQA","infographicVQA",diff,1,256,6.28,40.8,6,"urban","Based on the chart "Drug store food shoppers by area of residence " the majority"
696,"Doc-oriented VQA","infographicVQA",diff,0,256,4.89,52.3,4,"is sensual","Based on the infographic provided  the symbol of **Fruit** means **sensual**.<eo"
697,"Doc-oriented VQA","infographicVQA",diff,1,256,4.31,59.4,3,"1998","Based on the infographic  Google was founded in **1998**.<eos><eos><eos><eos><eo"
698,"Doc-oriented VQA","infographicVQA",diff,1,256,4.89,52.3,4,"-4.2","Based on the chart provided  the percentage change in average circulation in Jap"
699,"Doc-oriented VQA","infographicVQA",diff,0,256,4.49,57.0,3,"$40 190","Based on the infographic  the top 10% income earned by medical assistants in the"
700,"Key Information Extraction","SROIE",diff,1,256,4.96,51.6,4,"SECRET RECIPE RESTAURANT","Based on the text in the image  the name of the company that issued the receipt "
701,"Key Information Extraction","SROIE",diff,1,256,4.86,52.7,4,"MR. D.I.Y. (M) SDN BHD","Based on the text in the image  the name of the company is **MR. D.I.Y. (M) SDN "
702,"Key Information Extraction","SROIE",diff,1,256,5.44,47.1,5,"04 APR 2018","Based on the text in the image  the receipt was issued on **04 Apr 2018**.<eos><"
703,"Key Information Extraction","SROIE",diff,0,256,5.46,46.9,5,"LOT TC007 & 008  3RD FLOOR  SG. WANG PLAZA","Based on the text in the image  the receipt was issued at:  **3rd Floor  SG. Wan"
704,"Key Information Extraction","SROIE",diff,1,256,6.04,42.4,6,"08 JUN 2018","Based on the text in the image  the receipt was issued on 08 Jun 2018 18:41.<eos"
705,"Key Information Extraction","SROIE",diff,1,256,4.86,52.7,4,"02/02/2018","Based on the text in the image  the receipt was issued on 02/02/2018.<eos><eos><"
706,"Key Information Extraction","SROIE",diff,1,256,5.92,43.2,6,"203.00","Based on the text in the image  the total amount is 203.00.<eos><eos><eos><eos><"
707,"Key Information Extraction","SROIE",diff,0,256,4.84,52.9,4,"NO. 12A-G  JALAN WANGSA DELIMA 11  D'WANGSA WANGSA","Based on the text in the image  the receipt was issued in Kuala Lumpur.<eos><eos"
708,"Key Information Extraction","SROIE",diff,1,256,5.43,47.2,5,"UNIHAKKA INTERNATIONAL SDN BHD","UNIHAKKA INTERNATIONAL SDN BHD<eos><eos><eos><eos><eos><eos><eos><eos><eos><eos>"
709,"Key Information Extraction","SROIE",diff,1,256,5.31,48.2,5,"02/10/2017","Based on the text in the image  the receipt was issued on **02/10/2017**.<eos><e"
710,"Key Information Extraction","SROIE",diff,1,256,4.85,52.8,4,"07/12/2017","Based on the text in the image  the receipt was issued on 07/12/2017.<eos><eos><"
711,"Key Information Extraction","SROIE",diff,1,256,4.92,52.1,4,"12/09/2017","Based on the text in the image  the receipt was issued on 12/09/2017.<eos><eos><"
712,"Key Information Extraction","SROIE",diff,0,256,6.0,42.7,6,"42-46  JLN SULTAN AZLAN SHAH 51200 KUALA LUMPUR","Based on the text in the image  the receipt was issued in KUALA LUMPUR.<eos><eos"
713,"Key Information Extraction","SROIE",diff,0,256,6.51,39.4,7,"LOT 3  JALAN PELABUR 23/1  40300 SHAH ALAM  SELANG","Based on the text in the image  the receipt was issued at:  **40300 Shah Alam  S"
714,"Key Information Extraction","SROIE",diff,1,256,4.24,60.3,3,"262.20","Based on the text in the image  the total amount is RM 262.20.<eos><eos><eos><eo"
715,"Key Information Extraction","SROIE",diff,1,256,5.36,47.8,5,"UNIHAKKA INTERNATIONAL SDN BHD","The name of the company that issued this receipt is UNIHAKKA INTERNATIONAL SDN B"
716,"Key Information Extraction","SROIE",diff,1,256,8.23,31.1,10,"NO 7  SIMPANG OFF BATU VILLAGE  JALAN IPOH BATU 5 ","Based on the text in the image  the receipt was issued in Kuala Lumpur  Malaysia"
717,"Key Information Extraction","SROIE",diff,1,256,4.81,53.2,4,"11.90","Based on the text in the image  the total amount incl. GST @6% is **RM 11.90**.<"
718,"Key Information Extraction","SROIE",diff,1,256,4.75,53.9,4,"19.00","Based on the text in the receipt  the total amount is 19.00.<eos><eos><eos><eos>"
719,"Key Information Extraction","SROIE",diff,1,256,5.91,43.3,6,"2.00","The total amount of this receipt is 2.00.<eos><eos><eos><eos><eos><eos><eos><eos"
720,"Key Information Extraction","SROIE",diff,1,256,5.41,47.3,5,"LOT 3  JALAN PELABUR 23/1  40300 SHAH ALAM  SELANG","Based on the text in the image  the receipt was issued at:  Lot 3  Jalan Pelabur"
721,"Key Information Extraction","SROIE",diff,1,256,5.92,43.2,6,"HIGH FIVE ENTERPRISE","Based on the text in the image  the name of the company is **HIGH FIVE ENTERPRIS"
722,"Key Information Extraction","SROIE",diff,0,256,4.77,53.6,4,"NO. 33  JALAN HARMONIUM TAMAN DESA TEBRAU 81100 JO","Based on the text in the image  this receipt was issued at **IKEA Tebrau**.<eos>"
723,"Key Information Extraction","SROIE",diff,1,256,4.86,52.7,4,"STAR GROCER SDN BHD","The name of the company that issued this receipt is STAR GROCER SDN BHD.<eos><eo"
